[INFO: 2023-04-12 13:15:05,428] Epoch 7 Batch 40 Loss 0.005, AP 1.000, ACC 1.000, PN 0.188
[INFO: 2023-04-12 13:15:08,072] Epoch 7 Batch 50 Loss 0.046, AP 1.000, ACC 0.984, PN 0.281
[INFO: 2023-04-12 13:15:10,060] Epoch 8 Batch 0 Loss 0.002, AP 1.000, ACC 1.000, PN 0.195
[INFO: 2023-04-12 13:15:12,706] Epoch 8 Batch 10 Loss 0.048, AP 1.000, ACC 0.992, PN 0.234
[INFO: 2023-04-12 13:15:15,369] Epoch 8 Batch 20 Loss 0.001, AP 1.000, ACC 1.000, PN 0.234
[INFO: 2023-04-12 13:15:18,027] Epoch 8 Batch 30 Loss 0.001, AP 1.000, ACC 1.000, PN 0.234
[INFO: 2023-04-12 13:15:20,689] Epoch 8 Batch 40 Loss 0.001, AP 1.000, ACC 1.000, PN 0.211
[INFO: 2023-04-12 13:15:23,334] Epoch 8 Batch 50 Loss 0.001, AP 1.000, ACC 1.000, PN 0.227
[INFO: 2023-04-12 13:15:25,312] Epoch 9 Batch 0 Loss 0.001, AP 1.000, ACC 1.000, PN 0.219
[INFO: 2023-04-12 13:15:27,974] Epoch 9 Batch 10 Loss 0.001, AP 1.000, ACC 0.992, PN 0.164
[INFO: 2023-04-12 13:15:30,629] Epoch 9 Batch 20 Loss 0.001, AP 1.000, ACC 1.000, PN 0.320
[INFO: 2023-04-12 13:15:33,831] *** Epoch 9 Batch 22 VAL AP 0.973, VAL ACC 0.977
[INFO: 2023-04-12 13:15:37,887] Epoch 9 Batch 30 Loss 0.001, AP 1.000, ACC 1.000, PN 0.266
[INFO: 2023-04-12 13:15:40,514] Epoch 9 Batch 40 Loss 0.001, AP 1.000, ACC 1.000, PN 0.242
[INFO: 2023-04-12 13:15:43,139] Epoch 9 Batch 50 Loss 0.002, AP 1.000, ACC 1.000, PN 0.266
[INFO: 2023-04-16 06:35:17,363] Epoch 0 Batch 0 Loss 0.783, AP 0.204, ACC 0.305, PN 0.234
[INFO: 2023-04-16 06:35:19,961] Epoch 0 Batch 10 Loss 0.588, AP 0.389, ACC 0.734, PN 0.266
[INFO: 2023-04-16 06:35:22,552] Epoch 0 Batch 20 Loss 0.427, AP 0.773, ACC 0.883, PN 0.242
[INFO: 2023-04-16 06:35:25,140] Epoch 0 Batch 30 Loss 0.252, AP 0.871, ACC 0.898, PN 0.242
[INFO: 2023-04-16 06:35:27,714] Epoch 0 Batch 40 Loss 0.217, AP 0.948, ACC 0.938, PN 0.289
