[INFO: 2023-04-18 04:49:23,683] Epoch 0 Batch 100 Loss 12.461, ICI Loss 1.087, Entropy loss 11.374, BL loss 0.000
[INFO: 2023-04-18 04:49:39,206] Epoch 0 Batch 110 Loss 11.973, ICI Loss 1.061, Entropy loss 10.912, BL loss 0.000
[INFO: 2023-04-18 04:51:19,903] Epoch 0 Batch 120 Loss 12.190, ICI Loss 0.875, Entropy loss 11.314, BL loss 0.000
[INFO: 2023-04-18 04:53:05,632] Epoch 0 Batch 130 Loss 11.815, ICI Loss 0.903, Entropy loss 10.912, BL loss 0.000
[INFO: 2023-04-18 04:53:22,671] Epoch 0 Batch 140 Loss 11.140, ICI Loss 0.688, Entropy loss 10.452, BL loss 0.000
[INFO: 2023-04-18 04:54:57,790] Epoch 0 Batch 150 Loss 11.244, ICI Loss 0.930, Entropy loss 10.314, BL loss 0.000
[INFO: 2023-04-18 04:56:34,580] Epoch 0 Batch 160 Loss 10.914, ICI Loss 0.705, Entropy loss 10.210, BL loss 0.000
[INFO: 2023-04-18 04:57:05,736] Epoch 0 Batch 170 Loss 11.216, ICI Loss 0.853, Entropy loss 10.363, BL loss 0.000
[INFO: 2023-04-18 04:58:38,272] Epoch 0 Batch 180 Loss 10.750, ICI Loss 0.627, Entropy loss 10.123, BL loss 0.000
[INFO: 2023-04-18 04:58:56,178] Epoch 0 Batch 190 Loss 10.577, ICI Loss 0.534, Entropy loss 10.043, BL loss 0.000
[INFO: 2023-04-18 05:00:30,595] Epoch 0 Batch 200 Loss 10.778, ICI Loss 0.668, Entropy loss 10.110, BL loss 0.000
[INFO: 2023-04-18 05:02:24,787] Epoch 0 Batch 210 Loss 11.634, ICI Loss 0.884, Entropy loss 10.750, BL loss 0.000
[INFO: 2023-04-18 05:02:41,461] Epoch 0 Batch 220 Loss 10.789, ICI Loss 0.732, Entropy loss 10.057, BL loss 0.000
[INFO: 2023-04-18 05:04:19,184] Epoch 0 Batch 230 Loss 10.671, ICI Loss 0.567, Entropy loss 10.104, BL loss 0.000
[INFO: 2023-04-18 05:05:56,363] Epoch 0 Batch 240 Loss 11.303, ICI Loss 0.682, Entropy loss 10.621, BL loss 0.000
[INFO: 2023-04-18 05:06:14,879] Epoch 0 Batch 250 Loss 10.529, ICI Loss 0.674, Entropy loss 9.855, BL loss 0.000
[INFO: 2023-04-18 05:07:50,172] Epoch 0 Batch 260 Loss 10.445, ICI Loss 0.615, Entropy loss 9.830, BL loss 0.000
[INFO: 2023-04-18 05:08:06,831] Epoch 0 Batch 270 Loss 11.173, ICI Loss 0.499, Entropy loss 10.674, BL loss 0.000
[INFO: 2023-04-18 05:09:49,351] Epoch 0 Batch 280 Loss 10.618, ICI Loss 0.648, Entropy loss 9.970, BL loss 0.000
[INFO: 2023-04-18 05:11:18,388] Epoch 0 Batch 290 Loss 10.612, ICI Loss 0.792, Entropy loss 9.820, BL loss 0.000
[INFO: 2023-04-18 05:11:35,428] Epoch 0 Batch 300 Loss 10.202, ICI Loss 0.483, Entropy loss 9.720, BL loss 0.000
[INFO: 2023-04-18 05:13:09,070] Epoch 0 Batch 310 Loss 10.512, ICI Loss 0.724, Entropy loss 9.788, BL loss 0.000
[INFO: 2023-04-18 05:14:37,744] Epoch 0 Batch 320 Loss 10.445, ICI Loss 0.579, Entropy loss 9.866, BL loss 0.000
[INFO: 2023-04-18 05:14:56,884] Epoch 0 Batch 330 Loss 10.652, ICI Loss 0.730, Entropy loss 9.921, BL loss 0.000
[INFO: 2023-04-18 05:16:30,375] Epoch 0 Batch 340 Loss 10.340, ICI Loss 0.559, Entropy loss 9.781, BL loss 0.000
[INFO: 2023-04-18 05:16:48,685] Epoch 0 Batch 350 Loss 10.353, ICI Loss 0.634, Entropy loss 9.719, BL loss 0.000
[INFO: 2023-04-18 05:18:14,546] Epoch 0 Batch 360 Loss 10.436, ICI Loss 0.772, Entropy loss 9.664, BL loss 0.000
[INFO: 2023-04-18 05:19:49,746] Epoch 0 Batch 370 Loss 10.600, ICI Loss 0.638, Entropy loss 9.963, BL loss 0.000
[INFO: 2023-04-18 05:20:07,534] Epoch 0 Batch 380 Loss 10.200, ICI Loss 0.485, Entropy loss 9.715, BL loss 0.000
[INFO: 2023-04-18 05:21:37,395] Epoch 0 Batch 390 Loss 10.178, ICI Loss 0.588, Entropy loss 9.591, BL loss 0.000
[INFO: 2023-04-18 05:23:00,276] Epoch 0 Batch 400 Loss 10.063, ICI Loss 0.435, Entropy loss 9.627, BL loss 0.000
[INFO: 2023-04-18 05:23:32,635] Epoch 0 Batch 410 Loss 10.330, ICI Loss 0.732, Entropy loss 9.598, BL loss 0.000
[INFO: 2023-04-18 05:24:58,833] Epoch 0 Batch 420 Loss 10.385, ICI Loss 0.788, Entropy loss 9.597, BL loss 0.000
[INFO: 2023-04-18 05:25:15,835] Epoch 0 Batch 430 Loss 10.368, ICI Loss 0.642, Entropy loss 9.727, BL loss 0.000
[INFO: 2023-04-18 05:26:57,334] Epoch 0 Batch 440 Loss 10.373, ICI Loss 0.617, Entropy loss 9.756, BL loss 0.000
[INFO: 2023-04-18 05:28:33,868] Epoch 0 Batch 450 Loss 10.346, ICI Loss 0.471, Entropy loss 9.875, BL loss 0.000
[INFO: 2023-04-18 05:28:54,860] Epoch 0 Batch 460 Loss 10.405, ICI Loss 0.681, Entropy loss 9.724, BL loss 0.000
[INFO: 2023-04-18 05:30:14,975] Epoch 0 Batch 470 Loss 10.246, ICI Loss 0.642, Entropy loss 9.604, BL loss 0.000
[INFO: 2023-04-18 05:31:47,594] Epoch 0 Batch 480 Loss 11.657, ICI Loss 0.712, Entropy loss 10.945, BL loss 0.000
[INFO: 2023-04-18 05:32:07,266] Epoch 0 Batch 490 Loss 10.154, ICI Loss 0.480, Entropy loss 9.674, BL loss 0.000
[INFO: 2023-04-18 06:14:18,345] Epoch 0 Batch 0 Loss 38.752, ICI Loss 6.016, Entropy loss 32.736, BL loss 0.000
[INFO: 2023-04-18 06:14:36,186] Epoch 0 Batch 10 Loss 37.516, ICI Loss 5.950, Entropy loss 31.566, BL loss 0.000
[INFO: 2023-04-18 06:15:55,125] Epoch 0 Batch 20 Loss 36.456, ICI Loss 5.861, Entropy loss 30.596, BL loss 0.000
[INFO: 2023-04-18 06:16:11,304] Epoch 0 Batch 30 Loss 34.434, ICI Loss 5.405, Entropy loss 29.029, BL loss 0.000
[INFO: 2023-04-18 06:17:56,695] Epoch 0 Batch 40 Loss 32.572, ICI Loss 5.030, Entropy loss 27.543, BL loss 0.000
[INFO: 2023-04-18 06:19:42,181] Epoch 0 Batch 50 Loss 28.850, ICI Loss 4.296, Entropy loss 24.554, BL loss 0.000
[INFO: 2023-04-18 06:19:59,563] Epoch 0 Batch 60 Loss 26.044, ICI Loss 3.600, Entropy loss 22.444, BL loss 0.000
[INFO: 2023-04-18 06:21:32,522] Epoch 0 Batch 70 Loss 20.553, ICI Loss 2.678, Entropy loss 17.874, BL loss 0.000
[INFO: 2023-04-18 06:22:52,672] Epoch 0 Batch 80 Loss 16.543, ICI Loss 1.710, Entropy loss 14.833, BL loss 0.000
[INFO: 2023-04-18 06:23:30,524] Epoch 0 Batch 90 Loss 13.563, ICI Loss 1.176, Entropy loss 12.387, BL loss 0.000
[INFO: 2023-04-18 06:24:50,102] Epoch 0 Batch 100 Loss 12.804, ICI Loss 1.359, Entropy loss 11.444, BL loss 0.000
[INFO: 2023-04-18 06:25:06,297] Epoch 0 Batch 110 Loss 11.956, ICI Loss 1.092, Entropy loss 10.864, BL loss 0.000
[INFO: 2023-04-18 06:26:52,099] Epoch 0 Batch 120 Loss 12.074, ICI Loss 1.165, Entropy loss 10.909, BL loss 0.000
[INFO: 2023-04-18 06:28:27,592] Epoch 0 Batch 130 Loss 11.427, ICI Loss 0.665, Entropy loss 10.762, BL loss 0.000
[INFO: 2023-04-18 06:28:43,206] Epoch 0 Batch 140 Loss 11.256, ICI Loss 0.880, Entropy loss 10.376, BL loss 0.000
[INFO: 2023-04-18 06:30:11,980] Epoch 0 Batch 150 Loss 11.167, ICI Loss 0.823, Entropy loss 10.344, BL loss 0.000
[INFO: 2023-04-18 06:31:47,149] Epoch 0 Batch 160 Loss 10.985, ICI Loss 0.809, Entropy loss 10.176, BL loss 0.000
[INFO: 2023-04-18 06:32:07,475] Epoch 0 Batch 170 Loss 11.014, ICI Loss 0.848, Entropy loss 10.166, BL loss 0.000
[INFO: 2023-04-18 06:33:53,872] Epoch 0 Batch 180 Loss 10.876, ICI Loss 0.768, Entropy loss 10.108, BL loss 0.000
[INFO: 2023-04-18 06:34:10,848] Epoch 0 Batch 190 Loss 10.845, ICI Loss 0.762, Entropy loss 10.083, BL loss 0.000
[INFO: 2023-04-18 06:35:33,227] Epoch 0 Batch 200 Loss 10.853, ICI Loss 0.702, Entropy loss 10.151, BL loss 0.000
[INFO: 2023-04-18 06:37:10,362] Epoch 0 Batch 210 Loss 10.892, ICI Loss 0.774, Entropy loss 10.118, BL loss 0.000
[INFO: 2023-04-18 06:37:32,551] Epoch 0 Batch 220 Loss 10.775, ICI Loss 0.750, Entropy loss 10.025, BL loss 0.000
[INFO: 2023-04-18 06:39:09,477] Epoch 0 Batch 230 Loss 10.479, ICI Loss 0.485, Entropy loss 9.993, BL loss 0.000
[INFO: 2023-04-18 06:40:13,266] Epoch 0 Batch 240 Loss 10.835, ICI Loss 0.581, Entropy loss 10.254, BL loss 0.000
[INFO: 2023-04-18 06:41:00,321] Epoch 0 Batch 250 Loss 10.545, ICI Loss 0.604, Entropy loss 9.940, BL loss 0.000
[INFO: 2023-04-18 06:42:32,095] Epoch 0 Batch 260 Loss 10.325, ICI Loss 0.505, Entropy loss 9.819, BL loss 0.000
[INFO: 2023-04-18 06:42:51,912] Epoch 0 Batch 270 Loss 10.825, ICI Loss 0.748, Entropy loss 10.077, BL loss 0.000
[INFO: 2023-04-18 06:44:32,332] Epoch 0 Batch 280 Loss 10.516, ICI Loss 0.738, Entropy loss 9.778, BL loss 0.000
[INFO: 2023-04-18 06:45:59,270] Epoch 0 Batch 290 Loss 10.261, ICI Loss 0.450, Entropy loss 9.810, BL loss 0.000
[INFO: 2023-04-18 06:46:17,031] Epoch 0 Batch 300 Loss 10.330, ICI Loss 0.569, Entropy loss 9.761, BL loss 0.000
[INFO: 2023-04-18 06:47:56,321] Epoch 0 Batch 310 Loss 10.360, ICI Loss 0.639, Entropy loss 9.721, BL loss 0.000
[INFO: 2023-04-18 06:48:52,474] Epoch 0 Batch 320 Loss 10.503, ICI Loss 0.710, Entropy loss 9.792, BL loss 0.000
[INFO: 2023-04-18 06:49:48,044] Epoch 0 Batch 330 Loss 10.443, ICI Loss 0.577, Entropy loss 9.866, BL loss 0.000
[INFO: 2023-04-18 06:51:17,250] Epoch 0 Batch 340 Loss 10.421, ICI Loss 0.694, Entropy loss 9.728, BL loss 0.000
[INFO: 2023-04-18 06:51:39,971] Epoch 0 Batch 350 Loss 10.339, ICI Loss 0.659, Entropy loss 9.679, BL loss 0.000
[INFO: 2023-04-18 06:53:11,355] Epoch 0 Batch 360 Loss 10.396, ICI Loss 0.728, Entropy loss 9.668, BL loss 0.000
[INFO: 2023-04-18 06:54:48,096] Epoch 0 Batch 370 Loss 10.333, ICI Loss 0.529, Entropy loss 9.804, BL loss 0.000
[INFO: 2023-04-18 06:55:09,512] Epoch 0 Batch 380 Loss 10.358, ICI Loss 0.653, Entropy loss 9.704, BL loss 0.000
[INFO: 2023-04-18 06:56:50,777] Epoch 0 Batch 390 Loss 10.199, ICI Loss 0.573, Entropy loss 9.627, BL loss 0.000
[INFO: 2023-04-18 06:57:43,908] Epoch 0 Batch 400 Loss 10.194, ICI Loss 0.428, Entropy loss 9.765, BL loss 0.000
[INFO: 2023-04-18 06:58:40,260] Epoch 0 Batch 410 Loss 10.361, ICI Loss 0.653, Entropy loss 9.708, BL loss 0.000
[INFO: 2023-04-18 07:00:09,036] Epoch 0 Batch 420 Loss 10.784, ICI Loss 0.862, Entropy loss 9.923, BL loss 0.000
[INFO: 2023-04-18 07:00:38,172] Epoch 0 Batch 430 Loss 10.336, ICI Loss 0.655, Entropy loss 9.681, BL loss 0.000
[INFO: 2023-04-18 07:02:11,454] Epoch 0 Batch 440 Loss 10.287, ICI Loss 0.604, Entropy loss 9.684, BL loss 0.000
[INFO: 2023-04-18 07:03:39,072] Epoch 0 Batch 450 Loss 10.305, ICI Loss 0.552, Entropy loss 9.753, BL loss 0.000
[INFO: 2023-04-18 07:04:05,114] Epoch 0 Batch 460 Loss 10.442, ICI Loss 0.601, Entropy loss 9.841, BL loss 0.000
[INFO: 2023-04-18 07:05:33,058] Epoch 0 Batch 470 Loss 10.330, ICI Loss 0.668, Entropy loss 9.662, BL loss 0.000
[INFO: 2023-04-18 07:06:17,893] Epoch 0 Batch 480 Loss 10.470, ICI Loss 0.864, Entropy loss 9.606, BL loss 0.000
[INFO: 2023-04-18 07:07:29,903] Epoch 0 Batch 490 Loss 10.263, ICI Loss 0.581, Entropy loss 9.682, BL loss 0.000
[INFO: 2023-04-18 07:08:55,186] Epoch 0 Batch 500 Loss 10.151, ICI Loss 0.640, Entropy loss 9.511, BL loss 0.000
[INFO: 2023-04-18 07:09:27,761] Epoch 0 Batch 510 Loss 10.189, ICI Loss 0.647, Entropy loss 9.542, BL loss 0.000
[INFO: 2023-04-18 07:11:02,334] Epoch 0 Batch 520 Loss 10.304, ICI Loss 0.525, Entropy loss 9.779, BL loss 0.000
[INFO: 2023-04-18 07:12:15,013] Epoch 0 Batch 530 Loss 10.361, ICI Loss 0.729, Entropy loss 9.633, BL loss 0.000
[INFO: 2023-04-18 07:13:00,652] Epoch 0 Batch 540 Loss 10.156, ICI Loss 0.442, Entropy loss 9.714, BL loss 0.000
[INFO: 2023-04-18 07:14:25,114] Epoch 0 Batch 550 Loss 9.980, ICI Loss 0.380, Entropy loss 9.599, BL loss 0.000
[INFO: 2023-04-18 07:15:01,673] Epoch 0 Batch 560 Loss 10.228, ICI Loss 0.589, Entropy loss 9.639, BL loss 0.000
[INFO: 2023-04-18 07:16:08,387] Epoch 0 Batch 570 Loss 10.948, ICI Loss 0.700, Entropy loss 10.247, BL loss 0.000
[INFO: 2023-04-18 07:17:34,729] Epoch 0 Batch 580 Loss 10.138, ICI Loss 0.498, Entropy loss 9.640, BL loss 0.000
[INFO: 2023-04-18 07:18:03,170] Epoch 0 Batch 590 Loss 10.077, ICI Loss 0.580, Entropy loss 9.497, BL loss 0.000
[INFO: 2023-04-18 07:19:35,022] Epoch 0 Batch 600 Loss 11.030, ICI Loss 0.710, Entropy loss 10.320, BL loss 0.000
[INFO: 2023-04-18 07:20:50,329] Epoch 0 Batch 610 Loss 9.954, ICI Loss 0.459, Entropy loss 9.496, BL loss 0.000
[INFO: 2023-04-18 07:21:28,164] Epoch 0 Batch 620 Loss 10.275, ICI Loss 0.722, Entropy loss 9.554, BL loss 0.000
[INFO: 2023-04-18 07:23:05,008] Epoch 0 Batch 630 Loss 10.101, ICI Loss 0.498, Entropy loss 9.603, BL loss 0.000
[INFO: 2023-04-18 07:23:33,596] Epoch 0 Batch 640 Loss 10.228, ICI Loss 0.586, Entropy loss 9.642, BL loss 0.000
[INFO: 2023-04-18 07:25:03,317] Epoch 0 Batch 650 Loss 10.184, ICI Loss 0.575, Entropy loss 9.609, BL loss 0.000
[INFO: 2023-04-18 07:26:21,944] Epoch 0 Batch 660 Loss 9.877, ICI Loss 0.383, Entropy loss 9.494, BL loss 0.000
[INFO: 2023-04-18 07:26:59,050] Epoch 0 Batch 670 Loss 10.102, ICI Loss 0.383, Entropy loss 9.719, BL loss 0.000
[INFO: 2023-04-18 07:28:32,475] Epoch 0 Batch 680 Loss 10.800, ICI Loss 0.633, Entropy loss 10.167, BL loss 0.000
[INFO: 2023-04-18 07:29:30,493] Epoch 0 Batch 690 Loss 10.454, ICI Loss 0.671, Entropy loss 9.783, BL loss 0.000
[INFO: 2023-04-18 07:30:16,325] Epoch 0 Batch 700 Loss 9.978, ICI Loss 0.489, Entropy loss 9.489, BL loss 0.000
[INFO: 2023-04-18 07:31:55,934] Epoch 0 Batch 710 Loss 10.151, ICI Loss 0.520, Entropy loss 9.631, BL loss 0.000
[INFO: 2023-04-18 07:32:20,852] Epoch 0 Batch 720 Loss 10.282, ICI Loss 0.639, Entropy loss 9.643, BL loss 0.000
[INFO: 2023-04-18 07:33:56,011] Epoch 0 Batch 730 Loss 10.876, ICI Loss 0.595, Entropy loss 10.281, BL loss 0.000
[INFO: 2023-04-18 07:34:44,229] Epoch 0 Batch 740 Loss 10.232, ICI Loss 0.640, Entropy loss 9.592, BL loss 0.000
[INFO: 2023-04-18 07:35:44,937] Epoch 0 Batch 750 Loss 9.780, ICI Loss 0.347, Entropy loss 9.433, BL loss 0.000
